City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Amiens,FR,2021-04-01 22:51:45,49.9,2.3,44.01,93,0,19.57
183,Bathsheba,BB,2021-04-01 22:53:39,13.2167,-59.5167,78.8,57,40,16.11
184,Arlit,NE,2021-04-01 22:53:39,18.7369,7.3853,73.98,10,0,8.39
185,Marsa Matruh,EG,2021-04-01 22:53:39,31.3525,27.2453,55.4,62,40,12.66
186,Itako,JP,2021-04-01 22:53:40,35.9333,140.55,59.0,72,20,9.22
187,Lebu,CL,2021-04-01 22:53:40,-37.6167,-73.65,56.57,89,65,11.86
188,Beloha,MG,2021-04-01 22:53:40,-25.1667,45.05,70.61,76,1,12.68
189,San Carlos De Bariloche,AR,2021-04-01 22:53:41,-41.1456,-71.3082,62.6,59,40,8.05
190,Tilichiki,RU,2021-04-01 22:53:41,60.4667,166.1,30.36,98,100,10.0
191,Nyurba,RU,2021-04-01 22:53:41,63.2842,118.3319,-10.03,90,52,9.46
192,Alofi,NU,2021-04-01 22:53:41,-19.0595,-169.9187,84.2,74,40,11.5
193,Aborlan,PH,2021-04-01 22:53:42,9.4352,118.5492,77.0,94,40,4.61
194,Kavieng,PG,2021-04-01 22:53:42,-2.5744,150.7967,82.36,78,99,8.61
195,Villa Bruzual,VE,2021-04-01 22:53:42,9.3328,-69.1208,87.06,43,85,4.47
196,Ryotsu,JP,2021-04-01 22:53:43,38.0833,138.4333,48.2,76,0,1.14
197,Farafangana,MG,2021-04-01 22:50:55,-22.8167,47.8333,74.68,78,100,8.46
198,Okha,RU,2021-04-01 22:53:43,53.5739,142.9478,26.28,80,50,9.37
199,Nichinan,JP,2021-04-01 22:51:26,31.6,131.3667,66.2,82,75,20.71
200,Kilemary,RU,2021-04-01 22:53:43,56.7783,46.8659,34.88,98,100,5.95
201,Touros,BR,2021-04-01 22:53:11,-5.1989,-35.4608,80.6,78,40,5.75
202,Sinnamary,GF,2021-04-01 22:53:44,5.3833,-52.95,77.45,84,93,12.08
203,Laguna,US,2021-04-01 22:53:44,38.421,-121.4238,84.2,14,1,4.61
204,Keti Bandar,PK,2021-04-01 22:53:45,24.1447,67.4497,79.16,73,2,10.85
205,Saurimo,AO,2021-04-01 22:53:45,-9.6608,20.3916,65.28,95,100,1.12
206,Topolobampo,MX,2021-04-01 22:53:45,25.6,-109.05,91.4,22,75,13.8
207,Airai,TL,2021-04-01 22:53:45,-8.9266,125.4092,61.48,95,100,2.8
208,Brewster,US,2021-04-01 22:53:46,41.3973,-73.6171,44.6,45,75,13.8
209,Tutoia,BR,2021-04-01 22:53:46,-2.7619,-42.2744,79.27,85,84,11.16
210,Malatya,TR,2021-04-01 22:53:46,38.5,38.0,41.0,60,0,1.14
211,Aksarka,RU,2021-04-01 22:53:47,66.5606,67.7975,15.71,97,100,3.56
212,Norman Wells,CA,2021-04-01 22:51:04,65.282,-126.8329,5.0,72,90,23.02
213,Ponta Do Sol,PT,2021-04-01 22:50:17,32.6667,-17.1,59.0,73,0,3.0
214,Adrar,MR,2021-04-01 22:53:47,20.5022,-10.0711,82.08,6,100,11.83
215,Walvis Bay,NA,2021-04-01 22:53:47,-22.9575,14.5053,69.8,68,35,8.05
216,Pangnirtung,CA,2021-04-01 22:53:48,66.1451,-65.7125,-11.2,64,40,19.57
217,Geraldton,AU,2021-04-01 22:53:48,-28.7667,114.6,75.2,94,90,5.75
218,Katsuura,JP,2021-04-01 22:53:48,35.1333,140.3,60.01,72,75,4.61
219,Martapura,ID,2021-04-01 22:52:22,-3.4167,114.85,75.2,94,20,6.91
220,Warud,IN,2021-04-01 22:53:49,21.4667,78.2667,78.19,10,0,5.5
221,Dhidhdhoo,MV,2021-04-01 22:53:49,6.8833,73.1,83.82,78,100,10.47
222,Margate,GB,2021-04-01 22:51:00,51.3813,1.3862,43.0,75,4,5.99
223,Ust-Nera,RU,2021-04-01 22:53:49,64.5667,143.2,4.89,93,99,3.53
224,Clarksburg,US,2021-04-01 22:53:50,39.2807,-80.3445,33.8,47,90,16.11
225,Bam,IR,2021-04-01 22:52:19,29.106,58.357,68.52,13,0,1.99
226,Moses Lake,US,2021-04-01 22:53:50,47.1301,-119.2781,64.4,25,1,6.91
227,Kazanskaya,RU,2021-04-01 22:53:50,45.4106,40.4361,43.16,84,66,3.6
228,Bergerac,FR,2021-04-01 22:53:51,44.8333,0.5,55.0,87,0,4.61
